timestamp,builder,slot
2023-08-24,beaverbuild.org,1634
2023-05-08,beaverbuild.org,1633
2023-07-11,beaverbuild.org,1632
2023-08-22,rsync-builder.xyz,1632
2023-01-06,Flashbots,1631
2023-02-20,builder0x69,1631
2023-03-02,Flashbots,1628
2023-07-09,rsync-builder.xyz,1628
2023-01-13,Flashbots,1626
2023-07-10,beaverbuild.org,1625
2023-01-08,beaverbuild.org,1624
2022-09-26,Flashbots,1623
2023-08-15,beaverbuild.org,1622
2022-10-09,Flashbots,1621
2022-12-14,Flashbots,1619
2022-12-17,builder0x69,1615
2022-10-24,Flashbots,1614
2023-03-15,rsync-builder.xyz,1613
2023-08-20,beaverbuild.org,1613
2023-08-27,rsync-builder.xyz,1612
2023-07-01,beaverbuild.org,1610
2023-09-02,beaverbuild.org,1609
2022-09-21,Flashbots,1609
2023-09-02,Titan Builder,1608
2023-02-17,beaverbuild.org,1606
2023-08-10,beaverbuild.org,1605
2023-01-10,Flashbots,1605
2022-10-30,BloXroute,1604
2023-02-03,beaverbuild.org,1604
2022-09-27,Flashbots,1604
2023-06-03,beaverbuild.org,1602
2023-06-08,builder0x69,1600
2023-02-01,beaverbuild.org,1600
2023-09-20,beaverbuild.org,1598
2022-12-03,builder0x69,1596
2023-04-17,beaverbuild.org,1596
2022-11-30,builder0x69,1594
2023-01-18,Flashbots,1588
2023-02-09,Flashbots,1587
2023-04-23,beaverbuild.org,1587
2023-05-25,beaverbuild.org,1587
2023-09-08,rsync-builder.xyz,1586
2023-05-11,rsync-builder.xyz,1586
2023-04-01,builder0x69,1585
2023-07-27,beaverbuild.org,1584
2023-05-21,beaverbuild.org,1584
2022-10-19,Flashbots,1581
2023-09-01,Titan Builder,1579
2023-02-22,builder0x69,1577
2022-11-02,Vanilla Builders,1577
2023-02-26,builder0x69,1576
2023-08-08,rsync-builder.xyz,1576
2023-04-12,builder0x69,1575
2022-12-29,beaverbuild.org,1575
2023-06-17,beaverbuild.org,1574
2023-04-24,rsync-builder.xyz,1573
2023-07-15,beaverbuild.org,1572
2022-09-23,Flashbots,1572
2023-01-09,Flashbots,1571
2023-09-07,beaverbuild.org,1571
2023-07-26,beaverbuild.org,1570
2023-07-11,rsync-builder.xyz,1570
2023-05-15,beaverbuild.org,1569
2023-05-05,beaverbuild.org,1568
2023-03-27,builder0x69,1567
2023-07-19,rsync-builder.xyz,1566
2023-07-31,rsync-builder.xyz,1565
2023-05-22,beaverbuild.org,1565
2023-09-17,Titan Builder,1563
2023-02-13,builder0x69,1563
2023-02-08,builder0x69,1561
2023-01-30,Flashbots,1560
2023-07-30,beaverbuild.org,1559
2022-12-23,builder0x69,1557
2022-11-03,builder0x69,1556
2023-03-20,beaverbuild.org,1556
2023-08-21,beaverbuild.org,1554
2023-03-31,builder0x69,1553
2023-07-18,builder0x69,1552
2023-05-21,builder0x69,1552
2023-07-10,rsync-builder.xyz,1551
2023-07-08,rsync-builder.xyz,1549
2023-02-07,builder0x69,1547
2023-02-06,Flashbots,1547
2023-04-20,beaverbuild.org,1544
2023-03-28,Flashbots,1543
2023-02-16,Flashbots,1543
2023-02-03,Flashbots,1541
2023-04-02,builder0x69,1539
2023-01-14,Flashbots,1539
2023-05-10,beaverbuild.org,1536
2023-03-29,Flashbots,1535
2023-05-03,beaverbuild.org,1533
2023-08-20,Titan Builder,1532
2023-01-31,builder0x69,1532
2022-12-15,Flashbots,1531
2023-01-16,Flashbots,1530
2023-09-03,rsync-builder.xyz,1528
2023-01-25,Flashbots,1526
2023-04-27,builder0x69,1523
2023-02-07,beaverbuild.org,1523
2023-05-04,beaverbuild.org,1522
2023-08-24,rsync-builder.xyz,1520
2023-07-20,beaverbuild.org,1518
2023-02-27,builder0x69,1517
2023-01-02,beaverbuild.org,1516
2022-12-22,beaverbuild.org,1514
2022-12-13,beaverbuild.org,1513
2023-07-12,beaverbuild.org,1513
2023-01-05,builder0x69,1512
2023-03-28,builder0x69,1512
2023-05-09,beaverbuild.org,1511
2023-05-06,beaverbuild.org,1511
2022-12-13,Flashbots,1511
2023-01-19,BloXroute,1508
2023-07-13,rsync-builder.xyz,1508
2022-12-17,Flashbots,1507
2023-03-14,beaverbuild.org,1507
2022-12-16,Flashbots,1506
2023-06-19,beaverbuild.org,1506
2023-05-13,beaverbuild.org,1506
2023-05-10,rsync-builder.xyz,1506
2023-08-22,beaverbuild.org,1505
2022-12-18,builder0x69,1504
2022-12-07,Flashbots,1504
2022-12-06,builder0x69,1503
2022-12-26,Flashbots,1503
2023-01-03,Flashbots,1503
2023-06-18,rsync-builder.xyz,1501
2023-03-12,Flashbots,1501
2023-08-24,Titan Builder,1501
2022-11-07,Flashbots,1501
2023-03-21,beaverbuild.org,1501
2023-04-16,beaverbuild.org,1501
2023-04-11,Vanilla Builders,1499
2023-08-08,beaverbuild.org,1498
2023-03-19,beaverbuild.org,1498
2023-07-23,beaverbuild.org,1497
2023-02-13,Flashbots,1495
2023-03-06,Flashbots,1494
2023-01-17,Flashbots,1493
2022-11-21,Flashbots,1492
2023-08-25,Titan Builder,1492
2023-03-23,builder0x69,1492
2023-08-29,Titan Builder,1491
2022-12-16,builder0x69,1490
2023-02-06,beaverbuild.org,1489
2023-07-25,beaverbuild.org,1488
2023-01-15,Flashbots,1487
2023-08-09,rsync-builder.xyz,1487
2023-03-16,beaverbuild.org,1486
2023-05-14,beaverbuild.org,1486
2023-01-31,Flashbots,1486
2023-02-05,beaverbuild.org,1485
2023-09-02,rsync-builder.xyz,1485
2023-06-03,builder0x69,1483
2022-11-09,Flashbots,1483
2023-05-16,beaverbuild.org,1483
2023-03-01,Flashbots,1483
2023-01-06,beaverbuild.org,1483
2023-02-28,builder0x69,1482
2023-03-26,beaverbuild.org,1482
2023-03-07,builder0x69,1481
2023-08-21,rsync-builder.xyz,1480
2023-04-22,beaverbuild.org,1479
2023-02-10,Flashbots,1478
2022-12-05,Flashbots,1477
2023-02-14,Flashbots,1476
2023-05-23,beaverbuild.org,1475
2023-02-04,Flashbots,1474
2023-02-19,beaverbuild.org,1473
2023-07-16,rsync-builder.xyz,1473
2022-12-21,Flashbots,1471
2023-07-16,beaverbuild.org,1470
2023-07-19,beaverbuild.org,1469
2023-02-24,beaverbuild.org,1468
2022-11-20,Flashbots,1468
2023-01-29,Flashbots,1466
2023-02-18,beaverbuild.org,1464
2023-07-30,rsync-builder.xyz,1462
2023-07-09,builder0x69,1459
2023-04-08,Flashbots,1458
2022-12-08,Flashbots,1458
2023-04-25,builder0x69,1457
2022-11-24,Flashbots,1453
2022-09-25,Flashbots,1452
2023-07-12,rsync-builder.xyz,1452
2023-05-08,rsync-builder.xyz,1451
2023-02-03,builder0x69,1450
2023-01-01,beaverbuild.org,1449
2023-01-08,Flashbots,1448
2022-11-09,builder0x69,1448
2023-07-08,beaverbuild.org,1448
2023-09-01,beaverbuild.org,1447
2023-08-23,Titan Builder,1446
2023-08-17,rsync-builder.xyz,1446
2023-07-24,beaverbuild.org,1445
2023-01-27,Flashbots,1443
2023-05-15,rsync-builder.xyz,1443
2022-12-12,Flashbots,1443
2023-08-04,beaverbuild.org,1443
2023-02-25,builder0x69,1443
2023-05-17,beaverbuild.org,1442
2023-03-12,rsync-builder.xyz,1442
2022-11-23,Flashbots,1442
2023-03-24,builder0x69,1442
2023-04-27,beaverbuild.org,1442
2022-12-28,beaverbuild.org,1440
2023-01-03,beaverbuild.org,1440
2022-11-06,Flashbots,1439
2023-04-16,builder0x69,1439
2023-05-09,rsync-builder.xyz,1438
2023-03-13,Flashbots,1437
2023-02-05,Flashbots,1437
2023-08-28,beaverbuild.org,1436
2023-03-10,beaverbuild.org,1436
2023-07-01,rsync-builder.xyz,1436
2023-03-06,builder0x69,1436
2022-11-10,Flashbots,1433
2023-07-02,rsync-builder.xyz,1433
2023-02-04,beaverbuild.org,1432
2023-02-11,Flashbots,1432
2023-05-12,beaverbuild.org,1430
2023-07-29,beaverbuild.org,1429
2023-05-16,rsync-builder.xyz,1428
2023-08-31,beaverbuild.org,1428
2023-06-17,rsync-builder.xyz,1427
2023-03-24,Flashbots,1425
2023-05-07,beaverbuild.org,1425
2022-12-27,Flashbots,1425
2023-07-07,rsync-builder.xyz,1424
2023-01-19,Flashbots,1424
2022-12-01,Flashbots,1423
2023-08-19,Titan Builder,1423
2023-02-21,Flashbots,1419
2023-01-24,builder0x69,1416
2023-03-27,beaverbuild.org,1416
2023-07-13,builder0x69,1415
2023-08-23,rsync-builder.xyz,1415
2023-06-19,rsync-builder.xyz,1414
2023-09-19,rsync-builder.xyz,1412
2023-03-16,builder0x69,1409
2023-02-28,Flashbots,1408
2023-09-17,rsync-builder.xyz,1408
2022-11-22,builder0x69,1404
2023-08-26,rsync-builder.xyz,1403
2023-04-14,Vanilla Builders,1403
2023-07-21,beaverbuild.org,1403
2023-03-13,rsync-builder.xyz,1402
2022-10-29,BloXroute,1402
2022-12-26,beaverbuild.org,1402
2023-07-09,beaverbuild.org,1402
2023-04-05,Flashbots,1401
2023-01-28,Flashbots,1398
2023-06-28,builder0x69,1397
2023-02-12,beaverbuild.org,1396
2023-08-20,rsync-builder.xyz,1396
2022-11-05,Flashbots,1396
2023-06-04,builder0x69,1395
2023-05-27,beaverbuild.org,1394
2022-12-23,Flashbots,1393
2022-11-08,builder0x69,1393
2023-02-10,builder0x69,1389
2022-12-21,beaverbuild.org,1388
2022-11-10,Vanilla Builders,1388
2022-11-29,beaverbuild.org,1388
2023-02-15,Flashbots,1386
2023-08-29,beaverbuild.org,1386
2023-02-20,beaverbuild.org,1386
2023-02-22,Flashbots,1385
2022-10-28,builder0x69,1384
2022-09-24,Flashbots,1384
2023-06-08,rsync-builder.xyz,1384
2023-04-21,rsync-builder.xyz,1384
2023-06-05,builder0x69,1383
2023-07-17,builder0x69,1380
2023-04-14,builder0x69,1380
2023-03-23,Flashbots,1379
2022-11-29,Flashbots,1379
2023-03-13,builder0x69,1378
2023-04-01,Flashbots,1377
2023-03-20,rsync-builder.xyz,1376
2022-11-30,Flashbots,1374
2023-08-03,beaverbuild.org,1372
2023-06-13,rsync-builder.xyz,1369
2023-04-03,builder0x69,1368
2023-09-20,rsync-builder.xyz,1368
2022-12-19,Flashbots,1368
2023-06-29,builder0x69,1367
2022-12-31,beaverbuild.org,1366
2023-08-05,beaverbuild.org,1366
2023-07-17,rsync-builder.xyz,1364
2023-07-28,beaverbuild.org,1362
2023-05-20,beaverbuild.org,1362
2023-05-23,rsync-builder.xyz,1360
2023-06-18,beaverbuild.org,1359
2023-02-09,builder0x69,1358
2022-12-29,Flashbots,1357
2023-08-06,beaverbuild.org,1356
2023-01-28,beaverbuild.org,1355
2023-03-03,builder0x69,1353
2022-10-31,builder0x69,1352
2022-12-07,beaverbuild.org,1352
2023-04-15,beaverbuild.org,1350
2023-05-11,beaverbuild.org,1347
2023-06-24,rsync-builder.xyz,1346
2023-08-26,beaverbuild.org,1345
2023-02-27,Flashbots,1345
2022-12-20,beaverbuild.org,1345
2023-04-12,beaverbuild.org,1345
2023-02-23,Flashbots,1345
2023-04-07,Flashbots,1344
2022-12-05,builder0x69,1344
2023-09-18,rsync-builder.xyz,1344
2022-10-15,Flashbots,1343
2022-12-12,beaverbuild.org,1342
2023-02-12,Flashbots,1342
2023-02-22,beaverbuild.org,1341
2023-03-19,rsync-builder.xyz,1341
2023-01-30,builder0x69,1341
2023-06-29,rsync-builder.xyz,1340
2023-02-20,Flashbots,1340
2022-12-27,beaverbuild.org,1340
2023-01-26,Flashbots,1339
2023-04-15,builder0x69,1339
2023-01-29,beaverbuild.org,1336
2023-06-07,builder0x69,1335
2023-08-22,Titan Builder,1333
2023-07-08,builder0x69,1332
2023-07-16,builder0x69,1331
2022-12-15,beaverbuild.org,1331
2022-12-31,Flashbots,1330
2023-07-01,builder0x69,1329
2023-06-13,beaverbuild.org,1328
2023-02-02,beaverbuild.org,1328
2022-12-04,Flashbots,1328
2023-01-29,builder0x69,1327
2023-01-02,Flashbots,1327
2023-03-21,rsync-builder.xyz,1326
2023-02-21,beaverbuild.org,1325
2023-03-18,rsync-builder.xyz,1324
2022-10-27,builder0x69,1321
2023-03-16,rsync-builder.xyz,1320
2023-05-03,Flashbots,1318
2023-03-06,BloXroute,1317
2022-12-20,Flashbots,1316
2023-01-24,beaverbuild.org,1315
2022-12-02,Flashbots,1314
2023-03-21,Flashbots,1314
2023-06-02,builder0x69,1314
2022-12-01,beaverbuild.org,1312
2023-06-28,rsync-builder.xyz,1312
2023-02-19,Flashbots,1312
2023-04-12,Vanilla Builders,1311
2023-08-18,rsync-builder.xyz,1311
2023-04-06,Flashbots,1311
2022-09-20,Flashbots,1310
2023-07-11,builder0x69,1310
2023-03-17,rsync-builder.xyz,1308
2023-06-20,rsync-builder.xyz,1307
2023-03-20,builder0x69,1307
2022-11-15,Flashbots,1306
2023-04-27,rsync-builder.xyz,1306
2023-09-03,beaverbuild.org,1306
2023-02-24,Flashbots,1305
2023-01-07,beaverbuild.org,1304
2023-02-25,beaverbuild.org,1304
2022-12-26,builder0x69,1304
2022-12-09,builder0x69,1303
2022-10-22,Flashbots,1302
2023-07-18,beaverbuild.org,1301
2023-03-25,beaverbuild.org,1298
2023-01-28,builder0x69,1294
2023-05-18,beaverbuild.org,1293
2022-12-05,beaverbuild.org,1293
2023-06-09,builder0x69,1287
2022-11-11,Flashbots,1287
2022-12-11,Flashbots,1286
2023-05-12,rsync-builder.xyz,1285
2022-12-14,beaverbuild.org,1284
2022-12-31,builder0x69,1283
2023-06-09,beaverbuild.org,1283
2023-02-17,Flashbots,1283
2022-12-09,Flashbots,1282
2023-04-26,builder0x69,1281
2023-03-22,Flashbots,1280
2023-08-18,Titan Builder,1280
2023-03-23,beaverbuild.org,1279
2023-01-05,beaverbuild.org,1279
2023-03-25,Flashbots,1278
2023-03-01,builder0x69,1278
2023-07-07,builder0x69,1276
2023-02-23,beaverbuild.org,1274
2023-02-08,beaverbuild.org,1273
2023-03-14,rsync-builder.xyz,1273
2022-12-30,builder0x69,1271
2023-03-27,Flashbots,1271
2023-04-02,Flashbots,1270
2022-11-25,Flashbots,1270
2022-12-21,builder0x69,1270
2023-08-30,beaverbuild.org,1270
2023-04-04,Flashbots,1269
2023-07-03,rsync-builder.xyz,1269
2022-11-26,Flashbots,1268
2023-08-17,Titan Builder,1267
2022-12-11,builder0x69,1267
2023-09-16,rsync-builder.xyz,1266
