timestamp,relay,slot
2023-08-17,ultrasound,2603
2023-04-21,flashbots,2601
2023-05-12,ultrasound,2599
2023-06-06,ultrasound,2598
2023-07-15,flashbots,2598
2023-05-23,ultrasound,2597
2023-02-27,flashbots,2595
2023-08-31,bloxroute (max profit),2585
2023-08-23,bloxroute (max profit),2575
2023-08-12,bloxroute (max profit),2573
2023-08-15,bloxroute (max profit),2573
2023-06-28,ultrasound,2567
2023-03-08,flashbots,2564
2023-04-25,ultrasound,2563
2023-04-27,ultrasound,2561
2022-10-09,flashbots,2551
2022-10-01,flashbots,2550
2023-05-15,ultrasound,2548
2023-06-22,ultrasound,2548
2023-04-06,ultrasound,2546
2023-07-20,flashbots,2541
2023-08-22,ultrasound,2540
2023-05-16,ultrasound,2535
2023-05-26,ultrasound,2532
2023-02-24,flashbots,2531
2023-08-25,ultrasound,2530
2023-08-01,bloxroute (max profit),2528
2023-08-23,ultrasound,2527
2023-08-29,ultrasound,2526
2023-03-11,ultrasound,2519
2023-05-11,ultrasound,2518
2023-06-21,ultrasound,2516
2023-08-14,ultrasound,2514
2023-09-08,bloxroute (max profit),2514
2023-08-10,bloxroute (max profit),2513
2023-08-09,ultrasound,2507
2023-08-07,bloxroute (max profit),2503
2023-09-07,bloxroute (max profit),2503
2023-06-11,ultrasound,2501
2023-06-27,ultrasound,2496
2023-08-08,ultrasound,2496
2023-03-07,flashbots,2494
2023-07-22,ultrasound,2493
2023-08-15,ultrasound,2493
2023-08-03,ultrasound,2492
2023-06-10,ultrasound,2491
2023-07-02,flashbots,2478
2023-07-05,agnostic Gnosis,2477
2023-08-13,ultrasound,2473
2023-07-06,flashbots,2472
2023-08-04,ultrasound,2472
2023-08-07,ultrasound,2469
2022-09-29,flashbots,2466
2023-04-08,ultrasound,2459
2023-07-21,flashbots,2459
2023-07-08,flashbots,2447
2023-03-12,flashbots,2441
2023-08-24,ultrasound,2441
2023-06-07,ultrasound,2440
2023-08-27,ultrasound,2439
2023-08-09,bloxroute (max profit),2438
2023-08-31,ultrasound,2437
2023-07-16,flashbots,2432
2023-08-20,ultrasound,2428
2023-09-01,ultrasound,2425
2023-08-12,ultrasound,2417
2023-03-04,flashbots,2414
2023-08-20,bloxroute (max profit),2411
2023-09-05,bloxroute (max profit),2411
2023-04-26,ultrasound,2410
2023-05-17,ultrasound,2410
2023-06-02,ultrasound,2410
2023-06-20,ultrasound,2409
2023-07-19,ultrasound,2408
2023-08-10,ultrasound,2407
2023-06-18,flashbots,2405
2023-09-05,flashbots,2402
2023-07-12,flashbots,2399
2023-07-09,flashbots,2398
2023-07-03,flashbots,2393
2023-07-10,flashbots,2392
2023-09-06,flashbots,2389
2023-07-22,flashbots,2388
2023-08-02,bloxroute (max profit),2388
2023-09-15,bloxroute (max profit),2387
2023-06-05,ultrasound,2386
2023-02-28,flashbots,2382
2023-07-04,flashbots,2382
2023-08-04,bloxroute (max profit),2379
2023-04-24,flashbots,2376
2023-09-11,bloxroute (max profit),2374
2022-10-27,Other/None,2372
2023-03-03,flashbots,2372
2023-06-25,ultrasound,2372
2023-08-27,bloxroute (max profit),2369
2023-08-18,ultrasound,2368
2023-07-19,flashbots,2367
2023-07-23,flashbots,2364
2023-09-01,bloxroute (max profit),2363
2023-07-18,flashbots,2361
2023-07-31,bloxroute (max profit),2361
2023-03-02,flashbots,2357
2023-07-01,flashbots,2357
2023-09-13,bloxroute (max profit),2357
2023-08-19,bloxroute (max profit),2353
2023-03-13,flashbots,2348
2023-06-03,ultrasound,2346
2023-05-25,ultrasound,2345
2023-03-05,flashbots,2343
2023-08-13,bloxroute (max profit),2342
2023-09-03,bloxroute (max profit),2339
2023-04-23,flashbots,2336
2023-04-20,flashbots,2334
2023-08-03,bloxroute (max profit),2332
2022-10-26,Other/None,2330
2022-10-25,Other/None,2327
2023-08-08,bloxroute (max profit),2324
2023-07-05,flashbots,2321
2023-09-12,bloxroute (max profit),2319
2023-08-30,bloxroute (max profit),2318
2023-09-16,bloxroute (max profit),2315
2022-09-26,flashbots,2314
2023-03-10,flashbots,2314
2023-06-12,flashbots,2311
2023-06-13,flashbots,2311
2023-09-02,bloxroute (max profit),2309
2023-07-14,flashbots,2304
2023-09-12,flashbots,2302
2023-06-26,ultrasound,2301
2023-07-07,flashbots,2301
2023-03-26,ultrasound,2295
2023-08-11,ultrasound,2293
2023-09-18,bloxroute (max profit),2293
2023-08-06,bloxroute (max profit),2290
2023-08-26,bloxroute (max profit),2289
2023-04-22,flashbots,2286
2023-06-23,ultrasound,2285
2023-06-27,flashbots,2280
2023-04-25,flashbots,2277
2023-07-11,flashbots,2275
2023-07-13,flashbots,2274
2023-06-24,ultrasound,2269
2023-08-26,ultrasound,2263
2023-04-09,ultrasound,2261
2023-04-29,flashbots,2258
2023-06-19,flashbots,2258
2023-04-30,flashbots,2257
2023-04-12,ultrasound,2253
2023-08-02,flashbots,2252
2023-09-18,flashbots,2251
2023-09-11,flashbots,2250
2023-07-24,flashbots,2248
2022-09-27,flashbots,2247
2023-06-04,ultrasound,2245
2023-09-04,flashbots,2240
2023-04-19,flashbots,2239
2023-03-29,ultrasound,2238
2023-06-30,flashbots,2238
2023-03-06,flashbots,2235
2023-06-29,flashbots,2229
2023-08-06,flashbots,2229
2023-06-17,flashbots,2228
2023-08-05,bloxroute (max profit),2228
2023-04-05,agnostic Gnosis,2224
2023-06-28,flashbots,2223
2023-09-10,bloxroute (max profit),2223
2023-08-05,flashbots,2221
2023-09-14,bloxroute (max profit),2219
2023-06-10,flashbots,2218
2023-04-26,flashbots,2213
2022-09-25,flashbots,2211
2022-09-28,flashbots,2211
2023-03-23,ultrasound,2211
2023-03-01,flashbots,2208
2023-03-11,agnostic Gnosis,2208
2023-07-06,agnostic Gnosis,2208
2023-05-29,flashbots,2199
2023-03-22,ultrasound,2193
2023-04-02,ultrasound,2190
2023-03-25,ultrasound,2188
2023-04-01,ultrasound,2186
2023-08-01,flashbots,2185
2023-09-08,flashbots,2185
2023-06-24,flashbots,2184
2023-06-20,flashbots,2179
2023-04-27,flashbots,2178
2023-06-21,flashbots,2178
2023-09-17,bloxroute (max profit),2178
2023-09-07,flashbots,2174
2023-09-09,bloxroute (max profit),2174
2023-06-26,flashbots,2173
2023-09-09,flashbots,2173
2023-04-10,ultrasound,2172
2023-06-04,flashbots,2172
2022-10-28,Other/None,2170
2023-03-24,ultrasound,2168
2023-07-21,ultrasound,2167
2022-10-30,Other/None,2163
2023-05-01,flashbots,2155
2022-10-29,Other/None,2152
2023-07-13,agnostic Gnosis,2148
2023-03-27,ultrasound,2147
2023-07-26,flashbots,2146
2023-07-18,agnostic Gnosis,2145
2023-06-01,flashbots,2143
2023-08-25,bloxroute (max profit),2143
2023-04-04,ultrasound,2134
2023-05-27,flashbots,2133
2023-04-15,ultrasound,2132
2023-06-03,flashbots,2132
2023-05-30,flashbots,2127
2023-07-12,agnostic Gnosis,2124
2023-06-22,flashbots,2122
2023-04-28,flashbots,2120
2023-05-26,flashbots,2119
2023-08-13,flashbots,2119
2023-06-11,flashbots,2118
2023-07-31,flashbots,2118
