date,censoring,Share_of_Blocks
2022-12-17,non-censoring,85.51572787125092
2022-12-17,censoring,14.484272128749085
2022-12-18,non-censoring,84.53159041394336
2022-12-18,censoring,15.468409586056644
2022-12-19,non-censoring,85.46158098396904
2022-12-19,censoring,14.538419016030957
2022-12-20,non-censoring,84.28051001821494
2022-12-20,censoring,15.719489981785065
2022-12-21,non-censoring,84.24074074074073
2022-12-21,censoring,15.75925925925926
2022-12-22,non-censoring,84.30009149130832
2022-12-22,censoring,15.699908508691674
2022-12-23,non-censoring,84.77074235807859
2022-12-23,censoring,15.229257641921398
2022-12-24,non-censoring,84.2594279468027
2022-12-24,censoring,15.740572053197305
2022-12-25,non-censoring,84.31047197640117
2022-12-25,censoring,15.68952802359882
2022-12-26,non-censoring,84.73169832196201
2022-12-26,censoring,15.268301678037988
2022-12-27,non-censoring,85.47800799709196
2022-12-27,censoring,14.521992002908032
2022-12-28,non-censoring,84.26026899309342
2022-12-28,censoring,15.73973100690658
2022-12-29,non-censoring,84.25671969281404
2022-12-29,censoring,15.743280307185959
2022-12-30,non-censoring,84.25297891842347
2022-12-30,censoring,15.747021081576534
2022-12-31,non-censoring,85.48210372534697
2022-12-31,censoring,14.51789627465303
2023-01-01,non-censoring,85.01987712323816
2023-01-01,censoring,14.980122876761836
2023-01-02,non-censoring,84.19508617528419
2023-01-02,censoring,15.804913824715804
2023-01-03,non-censoring,83.88677191072401
2023-01-03,censoring,16.113228089275992
2023-01-04,non-censoring,85.21036193275768
2023-01-04,censoring,14.78963806724233
2023-01-05,non-censoring,85.1324200913242
2023-01-05,censoring,14.867579908675799
2023-01-06,non-censoring,83.27506899724011
2023-01-06,censoring,16.72493100275989
2023-01-07,non-censoring,82.92196007259528
2023-01-07,censoring,17.078039927404717
2023-01-08,non-censoring,84.63239358761747
2023-01-08,censoring,15.367606412382532
2023-01-09,non-censoring,84.44565020799422
2023-01-09,censoring,15.554349792005787
2023-01-10,non-censoring,84.55167446885127
2023-01-10,censoring,15.448325531148722
2023-01-11,non-censoring,83.50703967818613
2023-01-11,censoring,16.49296032181386
2023-01-12,non-censoring,84.59302325581395
2023-01-12,censoring,15.406976744186046
2023-01-13,non-censoring,83.9913074972836
2023-01-13,censoring,16.008692502716407
2023-01-14,non-censoring,83.64292155094681
2023-01-14,censoring,16.3570784490532
2023-01-15,non-censoring,83.74249863611566
2023-01-15,censoring,16.25750136388434
2023-01-16,non-censoring,83.92014519056261
2023-01-16,censoring,16.079854809437386
2023-01-17,non-censoring,83.61428312488671
2023-01-17,censoring,16.38571687511329
2023-01-18,non-censoring,84.40549331405855
2023-01-18,censoring,15.594506685941454
2023-01-19,non-censoring,84.71772743617404
2023-01-19,censoring,15.282272563825963
2023-01-20,non-censoring,84.40467494521549
2023-01-20,censoring,15.595325054784514
2023-01-21,non-censoring,84.46115288220551
2023-01-21,censoring,15.538847117794486
2023-01-22,non-censoring,84.3463932625412
2023-01-22,censoring,15.653606737458805
2023-01-23,non-censoring,84.6948016663648
2023-01-23,censoring,15.30519833363521
2023-01-24,non-censoring,84.72497745716862
2023-01-24,censoring,15.27502254283138
2023-01-25,non-censoring,84.4061650045331
2023-01-25,censoring,15.59383499546691
2023-01-26,non-censoring,84.52186536018871
2023-01-26,censoring,15.478134639811286
2023-01-27,non-censoring,85.57168784029038
2023-01-27,censoring,14.42831215970962
2023-01-28,non-censoring,84.91528511568592
2023-01-28,censoring,15.084714884314081
2023-01-29,non-censoring,85.41369472182596
2023-01-29,censoring,14.586305278174036
2023-01-30,non-censoring,85.1898506388339
2023-01-30,censoring,14.810149361166097
2023-01-31,non-censoring,84.67523068572463
2023-01-31,censoring,15.324769314275374
2023-02-01,non-censoring,84.46043165467626
2023-02-01,censoring,15.53956834532374
2023-02-02,non-censoring,84.30637386181039
2023-02-02,censoring,15.69362613818961
2023-02-03,non-censoring,84.3733141521309
2023-02-03,censoring,15.626685847869087
2023-02-04,non-censoring,85.05376344086022
2023-02-04,censoring,14.946236559139786
2023-02-05,non-censoring,85.04219788112766
2023-02-05,censoring,14.95780211887233
2023-02-06,non-censoring,84.63871543264942
2023-02-06,censoring,15.36128456735058
2023-02-07,non-censoring,85.06058961837584
2023-02-07,censoring,14.939410381624164
2023-02-08,non-censoring,84.36139332365748
2023-02-08,censoring,15.638606676342526
2023-02-09,non-censoring,84.10583941605839
2023-02-09,censoring,15.894160583941606
2023-02-10,non-censoring,85.26487072862051
2023-02-10,censoring,14.735129271379495
2023-02-11,non-censoring,85.35809018567639
2023-02-11,censoring,14.64190981432361
2023-02-12,non-censoring,84.65415363225583
2023-02-12,censoring,15.345846367744178
2023-02-13,non-censoring,84.9153140437544
2023-02-13,censoring,15.084685956245588
2023-02-14,non-censoring,84.73916887709991
2023-02-14,censoring,15.260831122900086
2023-02-15,non-censoring,85.19305703152675
2023-02-15,censoring,14.806942968473255
2023-02-16,non-censoring,84.88660524450744
