date,censoring,Share_of_Blocks
2022-11-22,censoring,74.85477178423237
2022-11-23,non-censoring,27.94603524229075
2022-11-23,censoring,72.05396475770925
2022-11-24,non-censoring,29.344846491228072
2022-11-24,censoring,70.65515350877193
2022-11-25,non-censoring,26.57477601654032
2022-11-25,censoring,73.42522398345969
2022-11-26,non-censoring,29.67078189300412
2022-11-26,censoring,70.32921810699588
2022-11-27,non-censoring,28.325358851674643
2022-11-27,censoring,71.67464114832536
2022-11-28,non-censoring,26.403725006847438
2022-11-28,censoring,73.59627499315256
2022-11-29,non-censoring,27.782369146005507
2022-11-29,censoring,72.21763085399448
2022-11-30,non-censoring,33.61760660247593
2022-11-30,censoring,66.38239339752407
2022-12-01,non-censoring,29.737529201594064
2022-12-01,censoring,70.26247079840594
2022-12-02,non-censoring,28.125427906339862
2022-12-02,censoring,71.87457209366013
2022-12-03,non-censoring,28.622295261572173
2022-12-03,censoring,71.37770473842782
2022-12-04,non-censoring,30.520010890280425
2022-12-04,censoring,69.47998910971958
2022-12-05,non-censoring,30.875324320633617
2022-12-05,censoring,69.12467567936638
2022-12-06,non-censoring,30.680885972108285
2022-12-06,censoring,69.31911402789171
2022-12-07,non-censoring,29.72489683631362
2022-12-07,censoring,70.27510316368638
2022-12-08,non-censoring,34.49793672627236
2022-12-08,censoring,65.50206327372766
2022-12-09,non-censoring,35.07759923087488
2022-12-09,censoring,64.92240076912512
2022-12-10,non-censoring,35.54789800137836
2022-12-10,censoring,64.45210199862163
2022-12-11,non-censoring,33.28748280605227
2022-12-11,censoring,66.71251719394773
2022-12-12,non-censoring,32.21200054922422
2022-12-12,censoring,67.78799945077579
2022-12-13,non-censoring,33.090358960253056
2022-12-13,censoring,66.90964103974693
2022-12-14,non-censoring,31.237127557325277
2022-12-14,censoring,68.76287244267473
2022-12-15,non-censoring,30.128731854286496
2022-12-15,censoring,69.8712681457135
2022-12-16,non-censoring,31.46805308523738
2022-12-16,censoring,68.53194691476261
2022-12-17,non-censoring,30.67417273101744
2022-12-17,censoring,69.32582726898256
2022-12-18,non-censoring,25.737817433081673
2022-12-18,censoring,74.26218256691833
2022-12-19,non-censoring,28.303179824561404
2022-12-19,censoring,71.69682017543859
2022-12-20,non-censoring,29.28434329585961
2022-12-20,censoring,70.71565670414039
2022-12-21,non-censoring,35.68004382961239
2022-12-21,censoring,64.31995617038761
2022-12-22,non-censoring,33.68998628257888
2022-12-22,censoring,66.31001371742113
2022-12-23,non-censoring,35.83608360836084
2022-12-23,censoring,64.16391639163916
2022-12-24,non-censoring,31.996715478308474
2022-12-24,censoring,68.00328452169153
2022-12-25,non-censoring,32.53490281960033
2022-12-25,censoring,67.46509718039967
2022-12-26,non-censoring,32.46273759059209
2022-12-26,censoring,67.5372624094079
2022-12-27,non-censoring,30.484798685291704
2022-12-27,censoring,69.51520131470829
2022-12-28,non-censoring,31.017947664063573
2022-12-28,censoring,68.98205233593643
2022-12-29,non-censoring,30.276485080755545
2022-12-29,censoring,69.72351491924445
2022-12-30,non-censoring,32.808003289022885
2022-12-30,censoring,67.19199671097711
2022-12-31,non-censoring,33.51595671825777
2022-12-31,censoring,66.48404328174222
2023-01-01,non-censoring,34.03935501503143
2023-01-01,censoring,65.96064498496858
2023-01-02,non-censoring,33.84615384615385
2023-01-02,censoring,66.15384615384615
2023-01-03,non-censoring,34.50068399452804
2023-01-03,censoring,65.49931600547195
2023-01-04,non-censoring,35.69478569478569
2023-01-04,censoring,64.3052143052143
2023-01-05,non-censoring,32.37262669034285
2023-01-05,censoring,67.62737330965714
2023-01-06,non-censoring,30.728241563055064
2023-01-06,censoring,69.27175843694494
2023-01-07,non-censoring,30.711763107851127
2023-01-07,censoring,69.28823689214887
2023-01-08,non-censoring,30.168055745320398
2023-01-08,censoring,69.8319442546796
2023-01-09,non-censoring,28.795525849133814
2023-01-09,censoring,71.20447415086618
2023-01-10,non-censoring,29.859692140035417
2023-01-10,censoring,70.14030785996458
2023-01-11,non-censoring,32.3937908496732
2023-01-11,censoring,67.6062091503268
2023-01-12,non-censoring,34.86077318194106
2023-01-12,censoring,65.13922681805894
2023-01-13,non-censoring,35.298102981029814
2023-01-13,censoring,64.70189701897019
2023-01-14,non-censoring,34.92148704871829
2023-01-14,censoring,65.07851295128171
2023-01-15,non-censoring,34.46934120488394
2023-01-15,censoring,65.53065879511605
2023-01-16,non-censoring,36.793214862681744
2023-01-16,censoring,63.206785137318256
2023-01-17,non-censoring,35.57344064386318
2023-01-17,censoring,64.42655935613682
2023-01-18,non-censoring,34.968333108745455
2023-01-18,censoring,65.03166689125455
2023-01-19,non-censoring,35.93707986017747
2023-01-19,censoring,64.06292013982254
2023-01-20,non-censoring,34.944995246502785
2023-01-20,censoring,65.05500475349722
2023-01-21,non-censoring,32.582745523602824
2023-01-21,censoring,67.41725447639718
2023-01-22,non-censoring,29.842004903296104
2023-01-22,censoring,70.1579950967039
2023-01-23,non-censoring,31.109009860867214
2023-01-23,censoring,68.89099013913278
2023-01-24,non-censoring,32.91275167785235
2023-01-24,censoring,67.08724832214766
2023-01-25,non-censoring,36.64471031052561
2023-01-25,censoring,63.35528968947439
2023-01-26,non-censoring,37.688107604208284
2023-01-26,censoring,62.311892395791716
2023-01-27,non-censoring,44.01221455124801
2023-01-27,censoring,55.98778544875199
2023-01-28,non-censoring,36.95390781563127
2023-01-28,censoring,63.04609218436874
2023-01-29,non-censoring,35.9279038718291
2023-01-29,censoring,64.0720961281709
2023-01-30,non-censoring,35.978695073235684
2023-01-30,censoring,64.02130492676432
2023-01-31,non-censoring,38.33887043189369
2023-01-31,censoring,61.66112956810631
2023-02-01,non-censoring,41.91118160190325
2023-02-01,censoring,58.088818398096755
2023-02-02,non-censoring,40.63951174207244
2023-02-02,censoring,59.36048825792756
2023-02-03,non-censoring,38.66240341060485
