date,censoring,Share_of_Blocks
2022-11-14,censoring,26.350014136273682
2022-11-15,non-censoring,74.66497390323036
2022-11-15,censoring,25.335026096769642
2022-11-16,non-censoring,73.76656329292359
2022-11-16,censoring,26.2334367070764
2022-11-17,non-censoring,73.1474996498109
2022-11-17,censoring,26.8525003501891
2022-11-18,non-censoring,72.76754811020352
2022-11-18,censoring,27.232451889796483
2022-11-19,non-censoring,69.1891891891892
2022-11-19,censoring,30.810810810810814
2022-11-20,non-censoring,68.27471152509385
2022-11-20,censoring,31.72528847490616
2022-11-21,non-censoring,66.3826815642458
2022-11-21,censoring,33.61731843575419
2022-11-22,non-censoring,67.30608840700583
2022-11-22,censoring,32.69391159299416
2022-11-23,non-censoring,65.71744539673763
2022-11-23,censoring,34.28255460326237
2022-11-24,non-censoring,74.96218891791557
2022-11-24,censoring,25.03781108208442
2022-11-25,non-censoring,73.69817115733632
2022-11-25,censoring,26.30182884266369
2022-11-26,non-censoring,76.59100403843476
2022-11-26,censoring,23.40899596156524
2022-11-27,non-censoring,76.48772367873492
2022-11-27,censoring,23.512276321265084
2022-11-28,non-censoring,63.458085899737604
2022-11-28,censoring,36.541914100262396
2022-11-29,non-censoring,63.51219512195122
2022-11-29,censoring,36.48780487804878
2022-11-30,non-censoring,70.16765969239296
2022-11-30,censoring,29.83234030760704
2022-12-01,non-censoring,70.67367547378613
2022-12-01,censoring,29.32632452621386
2022-12-02,non-censoring,66.79983468797354
2022-12-02,censoring,33.20016531202645
2022-12-03,non-censoring,66.2753763292363
2022-12-03,censoring,33.72462367076371
2022-12-04,non-censoring,65.65312244341423
2022-12-04,censoring,34.34687755658577
2022-12-05,non-censoring,59.77294487758172
2022-12-05,censoring,40.22705512241828
2022-12-06,non-censoring,62.41767288693744
2022-12-06,censoring,37.58232711306257
2022-12-07,non-censoring,61.15554329840044
2022-12-07,censoring,38.84445670159956
2022-12-08,non-censoring,61.364576154376294
2022-12-08,censoring,38.635423845623706
2022-12-09,non-censoring,60.77134986225895
2022-12-09,censoring,39.22865013774104
2022-12-10,non-censoring,61.77814707104279
2022-12-10,censoring,38.221852928957205
2022-12-11,non-censoring,63.21315098770548
2022-12-11,censoring,36.78684901229452
2022-12-12,non-censoring,60.608983190961695
2022-12-12,censoring,39.391016809038305
2022-12-13,non-censoring,63.19128396083299
2022-12-13,censoring,36.80871603916701
2022-12-14,non-censoring,65.30499585978471
2022-12-14,censoring,34.69500414021529
2022-12-15,non-censoring,57.50865051903114
2022-12-15,censoring,42.49134948096886
2022-12-16,non-censoring,57.87298525967765
